"ID","Study","MeanBaseline","sdBaseline","seBaseline","MeanFU","sdFU","seFU","Correlation","MeanCFB","sdCFB","seCFB","NCFB","group"
1,"Chee",56.1,8.9,0.932973504682507,56.4,9.4,0.985387746518603,0.96184616304088,0.3,2.57563584382575,0.27,91,1
2,"Jensen",94.6,13.7171425595858,2.8,89,12.7373466624725,2.6,0.93679012345679,-5.59999999999999,4.80083943277207,0.97996724561035,24,1
3,"Lau",56.9,7.1,0.728444629980459,57.42,7.1,0.728444629980459,0.931308272168221,0.52,2.63163447309842,0.27,95,1
4,"Reid",66,10,0.949157995752499,65.7,10,0.949157995752499,0.9838,-0.3,1.8,0.17084843923545,111,1
5,"Shapses1",84.1,9.4,2.27983487534153,77.1,9.4,2.27983487534153,0.88026256224536,-7,4.6,1.11566387516713,17,1
6,"Shapses2",85.9,9.2,2.77390437011543,79.2,9.2,2.77390437011543,0.960066162570889,-6.7,2.6,0.783929495902185,11,1
7,"Shapses3",93.7,13.6,3.20555074137902,87,13.6,3.20555074137902,0.918225562283737,-6.7,5.5,1.29636243217534,18,1
8,"Winters",57.2,4.9,1.35901548075181,56.3,4.3,1.19260542188424,0.93679012345679,-0.900000000000006,1.73886865447936,0.482275391924801,13,1
9,"Zemel",99.8,4.5,1.24807544150677,91.22,4.5,1.24807544150677,0.93679012345679,-8.58,1.6,0.443760156980183,13,1
1,"Chee",57.2,9.4,1.03805634510356,57.3,9.4,1.03805634510356,0.960976686283386,0.1,2.62606169005985,0.29,82,0
2,"Jensen",93.8,13.2272446110292,2.7,89.1,14.6969384566991,3,0.93728,-4.7,5.15223601943855,1.05169577350106,24,0
3,"Lau",58.9,7.5,0.790569415042095,58.64,7.5,0.790569415042095,0.93728,-0.26,2.65631323454144,0.28,90,0
4,"Reid",68,11,1.03940230077537,67.91,11,1.03940230077537,0.976198347107438,-0.09,2.4,0.226778683805536,112,0
5,"Shapses1",89.4,10.3,2.36298205886679,82.1,10.3,2.36298205886679,0.867612404562164,-7.3,5.3,1.21590338951398,19,0
6,"Shapses2",94,15.7,4.73372810987089,86.4,15.7,4.73372810987089,0.934094689439734,-7.6,5.7,1.71861466409325,11,0
7,"Shapses3",93.5,14.3,2.91897527681662,89.2,14.3,2.91897527681662,0.9700474350824,-4.3,3.5,0.71443450831176,24,0
8,"Winters",54.1,7.2,2.27683991532123,54.8,7.2,2.27683991532123,0.93728,0.699999999999996,2.55006070515978,0.8064,10,0
9,"Zemel",103.1,6.1,1.63029357566579,96.5,6.1,1.63029357566579,0.910556302069336,-6.6,2.58,0.689534004134055,14,0
